"0805.2150","Victor Galitski","Tudor D. Stanescu, Victor Galitski and S. Das Sarma","Orbital fluctuation mechanism for superconductivity in iron-based
  compounds","expanded version, 9+ pages, 6 color figures","Phys. Rev. B 78, 195114 (2008).","10.1103/PhysRevB.78.195114",,"cond-mat.supr-con cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose orbital fluctuations in a multi-band ground state as the
superconducting pairing mechanism in the new iron-based materials. We develop a
general SU(4) theoretical framework for studying a two-orbital model and
discuss a number of scenarios that may be operational within this orbital
fluctuation paradigm. The orbital and spin symmetry of the superconducting
order parameter is argued to be highly non-universal and dependent on the
details of the underlying band structure. We introduce a minimal two-orbital
model for the Fe-pnictides characterized by non-degenerate orbitals that
strongly mix with each other. They correspond to the iron ""d_xy"" orbital and to
an effective combination of ""d_zx"" and ""d_zy"", respectively. Using this
effective model we perform RPA calculations of susceptibilities and effective
pairing interactions. We find that spin and orbital fluctuations are,
generally, strongly coupled and we identify the parameters that control this
coupling as well as the relative strength of various channels.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 18:29:12 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2008 22:19:13 GMT""}]","2008-11-18"
"0805.2348","Nicholas Touikan","Nicholas Wembley Matheson Touikan","A Fast Algorithm for Stallings' Folding Process",,"Internat. J. Algebra Comput. 16 (2006), no. 6, 1031--1045","10.1142/S0218196706003396",,"math.GR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We show that for a fixed free group F and an arbitrary finitely generated
subgroup H (as given above) we can perform the Stalling's folding process in
time O(N log^*(N)), where N is the sum of the word lengths of the given
generators of H.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:05:21 GMT""}]","2014-03-27"
"0805.2349","Shouhong Wang","Tian Ma, Shouhong Wang","Superfluidity of Helium-3",,"Physica A: Statistical Mechanics and its Applications,Volume 387,
  Issue 24, 15 October 2008, Pages 6013-6031","10.1016/j.physa.2008.06.044",,"cond-mat.other cond-mat.supr-con","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This article presents a phenomenological dynamic phase transition theory --
modeling and analysis -- for liquid helium-3. We derived two new models, for
liquid helium-3 with or without applied field, by introducing three wave
functions and using a unified dynamical Ginzburg-Landau model. The analysis of
these new models leads to predictions of existence of 1) a unstable region, 2)
a new phase C in a narrow region, and 3) switch points of transition types on
the coexistence curves near two triple points. It is hoped that these
predictions will be useful for designing better physical experiments and lead
to better understanding of the physical mechanism of superfluidity.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:05:32 GMT""}]","2009-03-12"
"0805.2350","Yen-Chu Chen","Yen-Chu Chen","Top Mass and Properties","contribution to proceeding of Moriond EW 2008 conference, 7 pages",,,,"hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The top quark was discovered in 1995. The top quark mass is now well measured
at the Tevatron, with uncertainty getting below 1% of the top mass. The world
average from last year was 170.9 $\pm$ 1.8 GeV/$c^2$. The new CDF measurement
is 172 $\pm$ 1.2 (stat) $\pm$ 1.5 (sys) GeV/$c^2$, and D0 will soon present a
new measurement. The top quark mass is an important parameter in the Standard
Model, and should be measured as precisely as possible. To learn more about the
top quark observed and study possible new physics, other properties also should
be measured. At the Tevatron, the charge of the top quark can be measured
directly. Examples of other properties studied and reported in this
presentation are W helicity, top decay branching ratio to b ($R_b$), searches
for $t \to H b$ and for flavor changing neutral current (FCNC). The results are
all consistent with the Standard Model within current statistics. With
significantly more data being collected at the Tevatron, precision measurements
of the top properties are just starting.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:06:13 GMT""}]","2008-05-16"
"0805.2351","Simonetta Abenda","Simonetta Abenda","Reciprocal transformations and local Hamiltonian structures of
  hydrodynamic type systems","23 pages; corrected typos, added counterexample in Remark 3.3","J. Phys. A: Math. Theor. 42 (2009) 095208","10.1088/1751-8113/42/9/095208",,"nlin.SI","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We start from a hyperbolic DN hydrodynamic type system of dimension $n$ which
possesses Riemann invariants and we settle the necessary conditions on the
conservation laws in the reciprocal transformation so that, after such a
transformation of the independent variables, one of the metrics associated to
the initial system be flat. We prove the following statement: let $n\ge 3$ in
the case of reciprocal transformations of a single independent variable or
$n\ge 5$ in the case of transformations of both the independent variable; then
the reciprocal metric may be flat only if the conservation laws in the
transformation are linear combinations of the canonical densities of
conservation laws, {\it i.e} the Casimirs, the momentum and the Hamiltonian
densities associated to the Hamiltonian operator for the initial metric. Then,
we restrict ourselves to the case in which the initial metric is either flat or
of constant curvature and we classify the reciprocal transformations of one or
both the independent variables so that the reciprocal metric is flat. Such
characterization has an interesting geometric interpretation: the hypersurfaces
of two diagonalizable DN systems of dimension $n\ge 5$ are Lie equivalent if
and only if the corresponding local hamiltonian structures are related by a
canonical reciprocal transformation.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:06:45 GMT""},{""version"":""v2"",""created"":""Thu, 11 Sep 2008 13:20:47 GMT""},{""version"":""v3"",""created"":""Mon, 12 Jan 2009 12:53:55 GMT""},{""version"":""v4"",""created"":""Thu, 26 Feb 2009 17:39:07 GMT""}]","2009-02-26"
"0805.2352","Pedro Sancho","Pedro Sancho","Coexistence of Quantum Theory and Special Relativity in signaling
  scenarios","See also the comment by G C Hegerfeldt in the online version of the
  journal, including more references","Concepts of Physics, Volume V (2008), Number 2, 345","10.2478/v10005-007-0039-2",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The coexistence between Quantum Mechanics and Special Relativity is usually
formulated in terms of the no-signaling condition. Several authors have even
suggested that this condition should be included between the basic postulates
of Quantum Theory. However, there are several scenarios where signaling is, in
principle, possible: based on previous results and the analysis of the relation
between unitarity and signaling we present an example of a two-particle
interferometric arrangement for which the dynamics is, in principle, compatible
with superluminal transmission of information. This type of non-locality is not
in the line of Bell's theorem, but closer in spirit to the one-particle
acausality studied by Hegerfeldt and others. We analyze in this paper the
meaning of this non-locality and how to preserve the coexistence of the two
fundamental theories in this signaling scenario.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:07:51 GMT""}]","2009-11-13"
"0805.2353","Nikos Kalogeropoulos","Anthony J. Creaco, Nikos Kalogeropoulos","The geodesic rule for higher codimensional global defects","17 pages, no figures. To be published in Mod. Phys. Lett. A","Mod.Phys.Lett.A23:2053-2066,2008","10.1142/S0217732308027242",,"hep-th hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We generalize the geodesic rule to the case of formation of higher
codimensional global defects. Relying on energetic arguments, we argue that,
for such defects, the geometric structures of interest are the totally geodesic
submanifolds. On the other hand, stochastic arguments lead to a diffusion
equation approach, from which the geodesic rule is deduced. It turns out that
the most appropriate geometric structure that one should consider is the convex
hull of the values of the order parameter on the causal volumes whose collision
gives rise to the defect. We explain why these two approaches lead to similar
results when calculating the density of global defects by using a theorem of
Cheeger and Gromoll. We present a computation of the probability of formation
of strings/vortices in the case of a system, such as nematic liquid crystals,
whose vacuum is $\mathbb{R}P^2$.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:09:40 GMT""}]","2008-11-26"
"0805.2354","Andrea De Simone","Andrea De Simone","Quantum Boltzmann equations in resonant leptogenesis","6 pages, 1 figure. Talk given at the 43rd Rencontres de Moriond - EW
  session, La Thuile (Italy), 1-8 March 2008",,,"MIT-CTP-3947","hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The quantum Boltzmann equations relevant for leptogenesis, obtained using
non-equilibrium quantum field theory, are described. They manifest memory
effects leading to a time-dependent CP asymmetry which depends upon the
previous history of the system. This result is particularly relevant in
resonant leptogenesis where the asymmetry is generated by the decays of nearly
mass-degenerate right-handed neutrinos. The impact of the non-trivial time
evolution of the CP asymmetry is discussed either in the generic resonant
leptogenesis scenario or in the more specific Minimal Lepton Flavour Violation
framework. Significant quantitative differences arise with respect to the usual
approach in which the time dependence of the CP asymmetry is neglected.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:13:10 GMT""}]","2008-05-16"
"0805.2355","J\'er\'emie Bouttier","J. Bouttier and E. Guitter","The three-point function of planar quadrangulations","43 pages, 16 color figures, misprints and figure 15 corrected","J. Stat. Mech. (2008) P07020","10.1088/1742-5468/2008/07/P07020",,"math-ph math.CO math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We compute the generating function of random planar quadrangulations with
three marked vertices at prescribed pairwise distances. In the scaling limit of
large quadrangulations, this discrete three-point function converges to a
simple universal scaling function, which is the continuous three-point function
of pure 2D quantum gravity. We give explicit expressions for this universal
three-point function both in the grand-canonical and canonical ensembles.
Various limiting regimes are studied when some of the distances become large or
small. By considering the case where the marked vertices are aligned, we also
obtain the probability law for the number of geodesic points, namely vertices
that lie on a geodesic path between two given vertices, and at prescribed
distances from these vertices.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:18:43 GMT""},{""version"":""v2"",""created"":""Thu, 15 May 2008 22:35:05 GMT""},{""version"":""v3"",""created"":""Thu, 24 Jul 2008 12:47:47 GMT""}]","2008-07-24"
"0805.2356","Paolo Barletta","Paolo Barletta","Comparative study of Rare Gas-H$_2$ triatomic complexes","22 pages, 3 figures, 4 tables, submitted for publication",,"10.1140/epjd/e2009-00058-0",,"physics.atm-clus physics.chem-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This paper presents a comparative analysis of complexes made of one Rare Gas
(Rg) atom and molecular hydrogen, for all five stable Rg atoms. In particular,
the vibrational band origins have been calculated, as well as the structural
properties of the associated wavefunctions. The study is extended to cold
Rg-H$_2$ scattering. The molecular systems are studied variationally using a
very simple, yet effective, trial wavefunction. A large number of Potential
Energy Surfaces available from the literature is considered. A comparative
analysis shows that differences of up to two orders of magnitude exist for the
zero energy elastic cross sections of the five complexes. Corrections to the
model have also been considered, showing no significant effect.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:20:26 GMT""}]","2009-11-13"
"0805.2357","Zi Cai","Zi Cai, Shu Chen, Supeng Kou and Yupeng Wang","Properties of A Class of Topological Phase Transition","7 pages, 7 figures. Accepted by Phys. Rev. B","Phys. Rev. B 78, 035123 (2008)","10.1103/PhysRevB.78.035123",,"cond-mat.mes-hall cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The properties of a class of topological quantum phase transition (TQPT) are
analyzed based on a model proposed by Haldane. We study the effect of finite
temperature on this phase transition. We have found that finite temperature
would drive this TQPT to be a crossover, while it is stable against the weak
short range interaction. When the interaction is strong enough, however, this
TQPT is unstable and other states would emerge. Then we investigate the effect
of the on-site energy in the original haldane model. The critical difference
between our TQPT and the topological phase transition in conventional quantum
Hall system is discussed. Finally, we discuss the potential application of our
analysis to a topological phase transition proposed in a realistic system.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:21:04 GMT""}]","2008-09-10"
"0805.2358","Stefan Umbreit","Stefan Umbreit, Sourav Chatterjee and Frederic A. Rasio","Clearing the Dust from Globular Clusters","4 pages, 1 figure, to appear in ApJ Letters",,"10.1086/590080",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Recent Spitzer observations of the globular cluster M15 detected dust
associated with its intracluster medium. Surprisingly, these observations imply
that the dust must be very short-lived compared to the time since the last
Galactic plane crossing of the cluster.Here we propose a simple mechanism to
explain this short lifetime. We argue that the kinetic energy of the material
ejected during a stellar collision may be sufficient to remove the gas and dust
entirely from a cluster, or to remove the gas as a wind, in addition to
partially destroying the dust. By calculating the rate of stellar collisions
using an N-body model for the cluster, we find remarkable agreement between the
average time between collisions and the inferred dust lifetime in this cluster,
suggesting a possible close relation between the two phenomena. Furthermore, we
also obtain the birthrate of blue stragglers formed through collisions in M15.
By comparing with the observed number of blue stragglers, we derive an upper
limit for their average lifetime which turns out to be consistent with recent
model calculations, thereby lending further support to our model.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 17:04:07 GMT""}]","2009-11-13"
"0805.2359","Sven Heinemeyer","S. Heinemeyer, X. Miao, S. Su, G. Weiglein","B-Physics Observables and Electroweak Precision Data in the CMSSM, mGMSB
  and mAMSB","53 pages, 27 figures, discussion extended. Version to appear in JHEP","JHEP 0808:087,2008","10.1088/1126-6708/2008/08/087","DCPT/08/40, IPPP/08/20","hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We explore electroweak precision observables (EWPO) and $B$-physics
observables (BPO) in the CMSSM, the mGMSB and the mAMSB. We perform a chi^2
analysis based on the combination of current EWPO and BPO data. For the first
time this allows the comparison of the mGMSB and mAMSB in terms of EWPO and BPO
with the CMSSM. We find that relatively low mass scales in all three scenarios
are favored. However, the current data from EWPO and BPO can hardly exclude any
parameters at the level of Delta chi^2 = 9. Remarkably the mAMSB scenario,
despite having one free GUT scale parameter less than the other two scenarios,
has a somewhat lower total minimum chi^2. We present predictions for the
lightest Higgs boson mass, based on the chi^2 analysis of current data, where
relatively good compatibility with the bounds from Higgs searches at LEP is
found. We also present the predictions for other Higgs sector parameters and
SUSY mass scales, allowing to compare the reach of the LHC and the ILC in the
three scenarios. We furthermore explore the future sensitivities of the EWPO
and BPO for the current best-fit results and for a hypothetical point with
somewhat higher mass scales that results in a similar Higgs and SUSY spectrum
in the three scenarios. We find that the future improvement of the accuracy of
the EWPO and BPO will lead to a significant gain in the indirect parameter
determination. The improvement is similar in the CMSSM, mGMSB and mAMSB and
will yield constraints to the parameter space even for heavy Higgs and SUSY
mass scales.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 17:02:20 GMT""},{""version"":""v2"",""created"":""Mon, 25 Aug 2008 15:47:19 GMT""}]","2009-01-06"
